UGY;VOF;u/u_av;Points:0;Points:1;Points:2
-4.1453e-06;1;-6.1871e-05;0.0782;0.0002268;0
-4.2224e-06;1;-6.3021e-05;0.0782;0.0002295;0
-4.2995e-06;1;-6.4172e-05;0.0782;0.0002322;0
-4.3766e-06;1;-6.5323e-05;0.0782;0.0002349;0
-4.4537e-06;1;-6.6474e-05;0.0782;0.0002376;0
-4.5308e-06;1;-6.7624e-05;0.0782;0.0002403;0
-4.6079e-06;1;-6.8775e-05;0.0782;0.000243;0
-4.685e-06;1;-6.9926e-05;0.0782;0.0002457;0
-4.7621e-06;1;-7.1077e-05;0.0782;0.0002484;0
-4.8392e-06;1;-7.2227e-05;0.0782;0.0002511;0
-4.9163e-06;1;-7.3378e-05;0.0782;0.0002538;0
-4.9934e-06;1;-7.4529e-05;0.0782;0.0002565;0
-5.0705e-06;1;-7.568e-05;0.0782;0.0002592;0
-5.1476e-06;1;-7.683e-05;0.0782;0.0002619;0
-5.2247e-06;1;-7.7981e-05;0.0782;0.0002646;0
-5.3183e-06;1;-7.9378e-05;0.0782;0.0002673;0
-5.4673e-06;1;-8.1602e-05;0.0782;0.00027;0
-5.6163e-06;1;-8.3826e-05;0.0782;0.0002727;0
-5.7653e-06;1;-8.6051e-05;0.0782;0.0002754;0
-5.9143e-06;1;-8.8275e-05;0.0782;0.0002781;0
-6.0634e-06;1;-9.0499e-05;0.0782;0.0002808;0
-6.2124e-06;1;-9.2723e-05;0.0782;0.0002835;0
-6.3614e-06;1;-9.4947e-05;0.0782;0.0002862;0
-6.5104e-06;1;-9.7171e-05;0.0782;0.0002889;0
-6.6594e-06;1;-9.9396e-05;0.0782;0.0002916;0
-6.8084e-06;1;-0.00010162;0.0782;0.0002943;0
-6.9575e-06;1;-0.00010384;0.0782;0.000297;0
-7.1065e-06;1;-0.00010607;0.0782;0.0002997;0
-7.2555e-06;1;-0.00010829;0.0782;0.0003024;0
-7.4045e-06;1;-0.00011052;0.0782;0.0003051;0
-7.5535e-06;1;-0.00011274;0.0782;0.0003078;0
-7.7026e-06;1;-0.00011496;0.0782;0.0003105;0
-7.8516e-06;1;-0.00011719;0.0782;0.0003132;0
-8.0006e-06;1;-0.00011941;0.0782;0.0003159;0
-8.1496e-06;1;-0.00012164;0.0782;0.0003186;0
-8.2986e-06;1;-0.00012386;0.0782;0.0003213;0
-8.4476e-06;1;-0.00012609;0.0782;0.000324;0
-8.5967e-06;1;-0.00012831;0.0782;0.0003267;0
-8.7457e-06;1;-0.00013053;0.0782;0.0003294;0
-8.8947e-06;1;-0.00013276;0.0782;0.0003321;0
-9.0437e-06;1;-0.00013498;0.0782;0.0003348;0
-9.1927e-06;1;-0.00013721;0.0782;0.0003375;0
-9.3417e-06;1;-0.00013943;0.0782;0.0003402;0
-9.4908e-06;1;-0.00014165;0.0782;0.0003429;0
-9.6398e-06;1;-0.00014388;0.0782;0.0003456;0
-9.7888e-06;1;-0.0001461;0.0782;0.0003483;0
-9.9378e-06;1;-0.00014833;0.0782;0.000351;0
-1.0087e-05;1;-0.00015055;0.0782;0.0003537;0
-1.0236e-05;1;-0.00015278;0.0782;0.0003564;0
-1.0385e-05;1;-0.000155;0.0782;0.0003591;0
-1.0534e-05;1;-0.00015722;0.0782;0.0003618;0
-1.0683e-05;1;-0.00015945;0.0782;0.0003645;0
-1.0832e-05;1;-0.00016167;0.0782;0.0003672;0
-1.0981e-05;1;-0.0001639;0.0782;0.0003699;0
-1.113e-05;1;-0.00016612;0.0782;0.0003726;0
-1.1279e-05;1;-0.00016834;0.0782;0.0003753;0
-1.1428e-05;1;-0.00017057;0.0782;0.000378;0
-1.1577e-05;1;-0.00017279;0.0782;0.0003807;0
-1.1726e-05;1;-0.00017502;0.0782;0.0003834;0
-1.1875e-05;1;-0.00017724;0.0782;0.0003861;0
-1.2024e-05;1;-0.00017947;0.0782;0.0003888;0
-1.2173e-05;1;-0.00018169;0.0782;0.0003915;0
-1.2322e-05;1;-0.00018391;0.0782;0.0003942;0
-1.2471e-05;1;-0.00018614;0.0782;0.0003969;0
-1.262e-05;1;-0.00018836;0.0782;0.0003996;0
-1.2838e-05;1;-0.00019161;0.0782;0.0004023;0
-1.3068e-05;1;-0.00019504;0.0782;0.000405;0
-1.3298e-05;1;-0.00019848;0.0782;0.0004077;0
-1.3528e-05;1;-0.00020191;0.0782;0.0004104;0
-1.3758e-05;1;-0.00020535;0.0782;0.0004131;0
-1.3988e-05;1;-0.00020878;0.0782;0.0004158;0
-1.4218e-05;1;-0.00021221;0.0782;0.0004185;0
-1.4448e-05;1;-0.00021565;0.0782;0.0004212;0
-1.4678e-05;1;-0.00021908;0.0782;0.0004239;0
-1.4909e-05;1;-0.00022252;0.0782;0.0004266;0
-1.5139e-05;1;-0.00022595;0.0782;0.0004293;0
-1.5369e-05;1;-0.00022939;0.0782;0.000432;0
-1.5599e-05;1;-0.00023282;0.0782;0.0004347;0
-1.5829e-05;1;-0.00023626;0.0782;0.0004374;0
-1.6059e-05;1;-0.00023969;0.0782;0.0004401;0
-1.6289e-05;1;-0.00024313;0.0782;0.0004428;0
-1.6519e-05;1;-0.00024656;0.0782;0.0004455;0
-1.6749e-05;1;-0.00024999;0.0782;0.0004482;0
-1.698e-05;1;-0.00025343;0.0782;0.0004509;0
-1.721e-05;1;-0.00025686;0.0782;0.0004536;0
-1.744e-05;1;-0.0002603;0.0782;0.0004563;0
-1.767e-05;1;-0.00026373;0.0782;0.000459;0
-1.79e-05;1;-0.00026717;0.0782;0.0004617;0
-1.813e-05;1;-0.0002706;0.0782;0.0004644;0
-1.836e-05;1;-0.00027404;0.0782;0.0004671;0
-1.859e-05;1;-0.00027747;0.0782;0.0004698;0
-1.882e-05;1;-0.0002809;0.0782;0.0004725;0
-1.9051e-05;1;-0.00028434;0.0782;0.0004752;0
-1.9281e-05;1;-0.00028777;0.0782;0.0004779;0
-1.9511e-05;1;-0.00029121;0.0782;0.0004806;0
-1.9741e-05;1;-0.00029464;0.0782;0.0004833;0
-1.9971e-05;1;-0.00029808;0.0782;0.000486;0
-2.0201e-05;1;-0.00030151;0.0782;0.0004887;0
-2.0431e-05;1;-0.00030495;0.0782;0.0004914;0
-2.0661e-05;1;-0.00030838;0.0782;0.0004941;0
-2.0891e-05;1;-0.00031181;0.0782;0.0004968;0
-2.1121e-05;1;-0.00031525;0.0782;0.0004995;0
-2.1352e-05;1;-0.00031868;0.0782;0.0005022;0
-2.1582e-05;1;-0.00032212;0.0782;0.0005049;0
-2.1812e-05;1;-0.00032555;0.0782;0.0005076;0
-2.2042e-05;1;-0.00032899;0.0782;0.0005103;0
-2.2272e-05;1;-0.00033242;0.0782;0.000513;0
-2.2502e-05;1;-0.00033586;0.0782;0.0005157;0
-2.2732e-05;1;-0.00033929;0.0782;0.0005184;0
-2.2962e-05;1;-0.00034273;0.0782;0.0005211;0
-2.3192e-05;1;-0.00034616;0.0782;0.0005238;0
-2.3423e-05;1;-0.00034959;0.0782;0.0005265;0
-2.3653e-05;1;-0.00035303;0.0782;0.0005292;0
-2.3883e-05;1;-0.00035646;0.0782;0.0005319;0
-2.4152e-05;1;-0.00036048;0.0782;0.0005346;0
-2.4467e-05;1;-0.00036518;0.0782;0.0005373;0
-2.4782e-05;1;-0.00036988;0.0782;0.00054;0
-2.5096e-05;1;-0.00037458;0.0782;0.0005427;0
-2.5411e-05;1;-0.00037928;0.0782;0.0005454;0
-2.5726e-05;1;-0.00038398;0.0782;0.0005481;0
-2.6041e-05;1;-0.00038868;0.0782;0.0005508;0
-2.6356e-05;1;-0.00039338;0.0782;0.0005535;0
-2.6671e-05;1;-0.00039808;0.0782;0.0005562;0
-2.6986e-05;1;-0.00040277;0.0782;0.0005589;0
-2.73e-05;1;-0.00040747;0.0782;0.0005616;0
-2.7615e-05;1;-0.00041217;0.0782;0.0005643;0
-2.793e-05;1;-0.00041687;0.0782;0.000567;0
-2.8245e-05;1;-0.00042157;0.0782;0.0005697;0
-2.856e-05;1;-0.00042627;0.0782;0.0005724;0
-2.8875e-05;1;-0.00043097;0.0782;0.0005751;0
-2.919e-05;1;-0.00043567;0.0782;0.0005778;0
-2.9505e-05;1;-0.00044037;0.0782;0.0005805;0
-2.9819e-05;1;-0.00044507;0.0782;0.0005832;0
-3.0134e-05;1;-0.00044977;0.0782;0.0005859;0
-3.0449e-05;1;-0.00045447;0.0782;0.0005886;0
-3.0764e-05;1;-0.00045917;0.0782;0.0005913;0
-3.1079e-05;1;-0.00046387;0.0782;0.000594;0
-3.1394e-05;1;-0.00046857;0.0782;0.0005967;0
-3.1709e-05;1;-0.00047327;0.0782;0.0005994;0
