UGY;VOF;u/u_av_line;Points:0;Points:1;Points:2
3.0212e-06;1;5.1468e-05;0.0782;0.00024795;1.2441e-05
3.0653e-06;1;5.222e-05;0.0782;0.0002508;1.2584e-05
3.1095e-06;1;5.2972e-05;0.0782;0.00025365;1.2727e-05
3.1536e-06;1;5.3724e-05;0.0782;0.0002565;1.287e-05
3.1977e-06;1;5.4476e-05;0.0782;0.00025935;1.3013e-05
3.2419e-06;1;5.5228e-05;0.0782;0.0002622;1.3156e-05
3.286e-06;1;5.598e-05;0.0782;0.00026505;1.3299e-05
3.3362e-06;1;5.6834e-05;0.0782;0.0002679;1.3442e-05
3.3944e-06;1;5.7827e-05;0.0782;0.00027075;1.3585e-05
3.4527e-06;1;5.882e-05;0.0782;0.0002736;1.3728e-05
3.511e-06;1;5.9813e-05;0.0782;0.00027645;1.3871e-05
3.5693e-06;1;6.0806e-05;0.0782;0.0002793;1.4014e-05
3.6276e-06;1;6.1799e-05;0.0782;0.00028215;1.4157e-05
3.6859e-06;1;6.2792e-05;0.0782;0.000285;1.43e-05
3.7442e-06;1;6.3785e-05;0.0782;0.00028785;1.4443e-05
3.8025e-06;1;6.4778e-05;0.0782;0.0002907;1.4586e-05
3.8608e-06;1;6.5771e-05;0.0782;0.00029355;1.4729e-05
3.9191e-06;1;6.6764e-05;0.0782;0.0002964;1.4872e-05
3.9774e-06;1;6.7757e-05;0.0782;0.00029925;1.5015e-05
4.0356e-06;1;6.875e-05;0.0782;0.0003021;1.5158e-05
4.0939e-06;1;6.9743e-05;0.0782;0.00030495;1.5301e-05
4.1522e-06;1;7.0736e-05;0.0782;0.0003078;1.5444e-05
4.2105e-06;1;7.1729e-05;0.0782;0.00031065;1.5587e-05
4.2688e-06;1;7.2723e-05;0.0782;0.0003135;1.573e-05
4.3271e-06;1;7.3716e-05;0.0782;0.00031635;1.5873e-05
4.3854e-06;1;7.4709e-05;0.0782;0.0003192;1.6016e-05
4.4437e-06;1;7.5702e-05;0.0782;0.00032205;1.6159e-05
4.502e-06;1;7.6695e-05;0.0782;0.0003249;1.6302e-05
4.5603e-06;1;7.7688e-05;0.0782;0.00032775;1.6445e-05
4.6186e-06;1;7.8681e-05;0.0782;0.0003306;1.6588e-05
4.6769e-06;1;7.9674e-05;0.0782;0.00033345;1.6731e-05
4.7351e-06;1;8.0667e-05;0.0782;0.0003363;1.6874e-05
4.7934e-06;1;8.166e-05;0.0782;0.00033915;1.7017e-05
4.8517e-06;1;8.2653e-05;0.0782;0.000342;1.716e-05
4.91e-06;1;8.3646e-05;0.0782;0.00034485;1.7303e-05
4.9683e-06;1;8.4639e-05;0.0782;0.0003477;1.7446e-05
5.0266e-06;1;8.5632e-05;0.0782;0.00035055;1.7589e-05
5.0849e-06;1;8.6625e-05;0.0782;0.0003534;1.7732e-05
5.1432e-06;1;8.7618e-05;0.0782;0.00035625;1.7875e-05
5.2015e-06;1;8.8611e-05;0.0782;0.0003591;1.8018e-05
5.2598e-06;1;8.9604e-05;0.0782;0.00036195;1.8161e-05
5.3181e-06;1;9.0597e-05;0.0782;0.0003648;1.8304e-05
5.3763e-06;1;9.159e-05;0.0782;0.00036765;1.8447e-05
5.4346e-06;1;9.2583e-05;0.0782;0.0003705;1.859e-05
5.4929e-06;1;9.3576e-05;0.0782;0.00037335;1.8733e-05
5.5512e-06;1;9.4569e-05;0.0782;0.0003762;1.8876e-05
5.6095e-06;1;9.5562e-05;0.0782;0.00037905;1.9019e-05
5.6678e-06;1;9.6555e-05;0.0782;0.0003819;1.9162e-05
5.7261e-06;1;9.7548e-05;0.0782;0.00038475;1.9305e-05
5.7844e-06;1;9.8541e-05;0.0782;0.0003876;1.9448e-05
5.8427e-06;1;9.9535e-05;0.0782;0.00039045;1.9591e-05
5.901e-06;1;0.00010053;0.0782;0.0003933;1.9734e-05
5.9593e-06;1;0.00010152;0.0782;0.00039615;1.9877e-05
6.0175e-06;1;0.00010251;0.0782;0.000399;2.002e-05
6.0759e-06;1;0.00010351;0.0782;0.00040185;2.0163e-05
6.1342e-06;1;0.0001045;0.0782;0.0004047;2.0306e-05
6.1925e-06;1;0.00010549;0.0782;0.00040755;2.0449e-05
6.2508e-06;1;0.00010649;0.0782;0.0004104;2.0592e-05
6.3091e-06;1;0.00010748;0.0782;0.00041325;2.0735e-05
6.3674e-06;1;0.00010847;0.0782;0.0004161;2.0878e-05
6.4258e-06;1;0.00010947;0.0782;0.00041895;2.1021e-05
6.4841e-06;1;0.00011046;0.0782;0.0004218;2.1164e-05
6.5424e-06;1;0.00011145;0.0782;0.00042465;2.1307e-05
6.6007e-06;1;0.00011245;0.0782;0.0004275;2.145e-05
6.659e-06;1;0.00011344;0.0782;0.00043035;2.1593e-05
6.7173e-06;1;0.00011444;0.0782;0.0004332;2.1736e-05
6.7757e-06;1;0.00011543;0.0782;0.00043605;2.1879e-05
6.834e-06;1;0.00011642;0.0782;0.0004389;2.2022e-05
6.8923e-06;1;0.00011742;0.0782;0.00044175;2.2165e-05
6.9506e-06;1;0.00011841;0.0782;0.0004446;2.2308e-05
7.0089e-06;1;0.0001194;0.0782;0.00044745;2.2451e-05
7.0673e-06;1;0.0001204;0.0782;0.0004503;2.2594e-05
7.1256e-06;1;0.00012139;0.0782;0.00045315;2.2737e-05
7.1839e-06;1;0.00012238;0.0782;0.000456;2.288e-05
7.2422e-06;1;0.00012338;0.0782;0.00045885;2.3023e-05
7.3005e-06;1;0.00012437;0.0782;0.0004617;2.3166e-05
